signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationCorrelationSignals,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,120.992352706776,-162.815227700302,-20.3921736768494,39.7441566267295,1579.59798597001,3.72406883431658,0.0864664569668203,0,1579.58090941963,5428.25796376974,9291834.21001753,44.6701427878446,6.53228210126861e-05,5163053.97771977,111276.764177544,405912.142237479,164764667215.819,21.1155899744407,3.22001000785386e-05,420887.508541933
compassFilter,120.985082258697,-162.79470075847,-20.3952246086689,39.7400788460832,1579.27386669291,3.7245065478718,0.0863285869803393,0,1579.25679364649,5417.93466046792,9289113.08026055,44.6679077245012,6.52674445140913e-05,5163203.49902608,111293.412614633,405906.371946138,164759982786.476,21.1089230101635,3.2182790153679e-05,420886.345571107
fullSystem,123.22369230339,-163.646676526223,-20.383266640032,39.7647581889508,1581.23599382573,3.72002321939152,0.0851657632513372,0,1581.21889956735,5354.92062597182,9300999.9894164,44.6844095685062,6.53881283779672e-05,5110195.8411548,111228.159931074,404931.727597239,163969704014.885,20.9116761524613,3.22486878634744e-05,419929.18600474
gyroFilter,49.6354001113073,-49.9006649120477,0.0119579686367158,1.28485519668133,1.65085287643902,255.646169104228,-0.221318849033132,0,1.65083502957383,-0.469433324722518,696.701331610195,1.28490389624585,8.56755998506764e-05,5110195.8411548,111228.159931074,404931.727597239,163969704014.885,20.9116761524613,3.22486878634744e-05,419929.18600474
gyroSystem,104.278535526641,-102.951301654601,-18.2460017170586,37.870121781566,1434.14612375064,3.52902195499032,0.213911317916462,0,1434.13061963583,11617.6108764151,7258247.56351198,42.0362605174953,7.04543235493644e-05,55287.2952945702,-65.252683559718,3592.56416198526,12906517.2579808,66.7314992333407,6.17068513402916e-05,3593.14700591439
input,102.796204903484,-103.738924774989,-20.2652828922936,39.0655288190194,1526.11554190964,3.26801019955189,0.177606187628688,0,1526.0990435416,10588.4446896462,7611124.80853786,44.0088710857967,6.70627206015756e-05,1810532.28143825,99565.4540034238,293134.233389888,85927678785.0775,9.72031010804939,3.30378074866881e-05,309581.158897885
compassSystemError,79.3888397167084,-64.7179961543095,-0.126890784555962,7.20764709443001,51.9501766378453,24.2116407251139,0.142702715208473,0,51.9496150203856,53.4325298179291,65341.4680709631,7.20872501151147,8.56689702576872e-05,4678453.47602655,692.422305394899,270310.523538791,73067779135.8151,61.9508671244103,7.30904725700487e-05,270310.679821628
compassFilterError,79.3807228661553,-64.8635527638728,-0.129941716375233,7.23277968177915,52.3131019251574,24.2841620707911,0.175083059089381,0,52.3125363842235,66.2449523725479,66456.0734494589,7.2339077429753,8.56477915197936e-05,4692596.0555071,709.070742484276,271153.286897566,73524104995.3538,61.9821673328605,7.30831936152764e-05,271153.481171136
fullSystemError,76.4697955972801,-63.3720465790445,-0.117983747738518,7.11058567189337,50.5604285973353,24.4176121314283,0.101563245373992,0,50.5598820040164,36.5128428156447,62418.7826264973,7.111526008442,8.60055920981397e-05,4678127.27441125,643.81805892456,269721.227938841,72749540800.836,61.8602842670092,7.32731175326316e-05,269721.267355567
gyroSystemError,6.72584526891416,0,2.01928117523499,2.13015506753488,4.53756061174453,2.00273562640997,0.666698352945037,0,4.53751155756553,6.44400692684996,41.2343461126976,2.93513339087408,5.03122242117629e-05,18772.9724950352,-11018.8878687253,16020.0985757428,256643558.376516,3.78446819494779,2.93831712013321e-05,19443.7152053068
gyroFilterError,101.946084812998,-101.810493150293,20.2772408609303,39.0391034006348,1524.05159432545,3.27067306443312,-0.178444647135487,0,1524.03511827012,-10616.8574597675,7596736.86177121,43.9909265099326,6.69352573434122e-05,804503.668374591,-110649.594555708,300476.384067386,90286057382.2113,9.57289229546689,3.25686679764624e-05,320201.346229914
