signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationCorrelationSignals,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,121.30163769457,-162.317632397625,-22.6359341529576,43.5493678212344,1896.54743762917,3.73317756796837,0.470963102035404,0,1896.31309345054,38891.2542023339,13424519.034556,49.0784943577896,0.000639000426766341,273479.18053507,-8604.55437797222,23704.1285292242,561885709.329978,20.9408873329012,0.000527543108119887,25216.8465301582
compassFilter,107.120121393444,-130.647088941721,-22.7389283815494,42.2893499329346,1788.3891177502,3.44337735387648,0.545097122462426,0,1788.16813800007,41217.9528203977,11010355.0387494,48.0127795689992,0.000627958177900693,188689.204267489,-8643.7053771996,21071.8741244352,444023879.116042,11.1687054684075,0.000524194209887841,22775.2077373695
fullSystem,114.522958517199,-134.404742400274,-22.5305893391575,42.9398179721958,1843.82796748531,3.47061956669532,0.530565241023126,0,1843.6001375128,41998.9944333102,11796155.1119862,48.4894585810418,0.000655889486454511,138836.140484094,-8564.50985528289,21079.4540769096,444343384.180541,8.65409898020578,0.000533761543541855,22752.2912959866
gyroFilter,48.4821153888082,-60.17599838,0.208339042391855,6.01088021046532,36.1306809045637,37.2108698899102,-2.97763312284436,0,36.1262164685196,-646.554154557145,48564.0371390324,6.01411852436449,0.0012713921598055,138836.140484094,-8564.50985528289,21079.4540769096,444343384.180541,8.65409898020578,0.000533761543541855,22752.2912959866
gyroSystem,103.644559435345,-102.213778421611,-20.2963798217536,41.5744797965729,1728.43737035565,3.53825336357391,0.576786404164546,0,1728.22379845767,41439.5458033272,10567904.7619052,46.2619371873525,0.000686290897145791,50858.9731625069,79.1955219166915,4463.30372663851,19921080.1562252,37.8490234356464,0.000836366402441585,4463.86841774575
input,102.633234116096,-102.994539091097,-22.6245235053196,42.6992347250821,1823.22464610765,3.34186378422006,0.555424362458945,0,1822.99936195516,43231.9375686697,11106105.0539336,48.3204762579791,0.000653345197701075,94427.6397032855,-7715.22406242013,19559.9304456507,382590879.038692,8.18353755363687,0.000540075253272118,21025.982087967
compassSystemError,77.5402339555508,-62.8162585587253,-0.0114106476380577,8.09508207571974,65.5303538126391,21.8426593408753,0.297718064405256,0,65.522256647952,157.902300216641,93774.1649708209,8.0945899742255,0.000843006930294238,240872.834662934,-4.33750767368796,11237.5223243048,126281907.989248,139.255171148572,0.000690400710912947,11237.1759975212
compassFilterError,78.7402087413847,-50.2160225297923,-0.11440487622978,8.11411208020699,65.8388148501611,33.9295634224228,3.00271143155548,0,65.8306795709259,1603.82177244035,147039.815201279,8.1144172955691,0.00122890354038732,193755.948683269,-43.4885069011253,8958.94342764546,80262667.3397519,139.222104103273,0.000712832020821896,8958.77221010829
fullSystemError,34.5904273330391,-33.7679057567973,0.0939341661620726,4.23608371605647,17.9444052494388,23.164853218004,0.398561813208,0,17.9421879746026,30.290663712405,7457.27840993478,4.2368634155676,0.000889140311618158,145277.536896404,35.7070150155662,6168.55369860009,38051054.7325128,169.63917991471,0.000678030256371392,6168.46648009344
gyroSystemError,6.72584526891364,0,2.32814368356599,2.16569885991244,4.69025155182604,1.80692924196624,0.476158557162156,0,4.68967200758387,4.83576622714962,39.7398373513574,3.17961082821658,0.000447369789838706,4570.01712706012,884.992807878372,1268.61210074795,1609376.66216414,3.04581796867307,0.000484467199139484,1546.7674343131
gyroFilterError,100.455030504273,-99.6463666144758,22.8328625477114,41.9049169868691,1756.02206767639,3.30342344683651,-0.562096017268409,0,1755.80508731464,-41354.708378281,10183963.9435429,47.7194373336203,0.000625648773312633,108665.749956829,8679.41239221517,19746.0481652695,389906418.145141,7.33630977446699,0.000523979154033328,21568.8323053369
