signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationSignals_1,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,119.191883490723,-161.900611316982,-20.467066966132,35331.7648349645,2028.03588059024,3.32585667513129,0.212497848006196,0,2027.78855914139,19403.8781564957,13675678.0000675,49.464021160208,0.00084267924496809,501989.139615158,36.7997209339201,35331.7648349645,1248333606.35324,40.0634466928334,0.000748453260561385,35330.7067298156
compassFilter,114.813829006749,-151.220076218692,-20.5292342390662,32903.8337003402,2004.65365702853,3.2545571442133,0.235701362948931,0,2004.40918707035,21151.5243104027,13075691.6535928,49.2530064616648,0.000759411937910583,458689.321755188,36.9114974917974,32903.8337003402,1082662272.17964,36.7872164144769,0.000743271001680704,32902.8511624832
fullSystem,118.902222500143,-152.935422989201,-20.3719550119662,32097.6215473755,2012.47111855173,3.22893636463096,0.219663825000765,0,2012.22569524459,19827.7565259403,13074132.0478036,49.2670503100618,0.000929164958996383,407055.059668895,36.6287099445833,32097.6215473755,1030257308.99855,31.7719219415744,0.0007467821033954,32096.6637871067
gyroFilter,50.6957741903527,-52.6609361701522,0.157279227099965,32097.6215473755,16.9132088664002,45.1270360811038,-0.928285271694703,0,16.9111462799531,-64.5566564611954,12905.7397336103,4.11532295637052,0.0024804676746439,407055.059668895,36.6287099445833,32097.6215473755,1030257308.99855,31.7719219415744,0.0007467821033954,32096.6637871067
gyroSystem,103.26647623867,-101.800527960199,-18.4234849219118,4732.47323021257,1875.854493184,3.10776839911118,0.320999887682897,0,1875.62573044093,26074.9901653251,10933041.8397766,47.0643232938587,0.00160701189186199,50280.2891456648,-0.282787547212297,4732.47323021257,22396302.8746786,32.7299601152332,0.000757959595525201,4732.3289449433
input,102.458243706456,-103.047860400474,-20.371516502901,26246.5709061731,1958.42016396957,2.97916272984986,0.298375636471076,0,1958.18133224226,25854.8913730075,11423522.4164969,48.7152955125003,0.000985034453587406,158669.872476595,33.1253669555389,26246.5709061731,688882484.33277,17.0749698507314,0.000733081921783956,26245.7915489651
compassSystemError,78.0767640724023,-63.0235863322899,-0.0955504632309502,22791.0423850088,74.5110639545753,19.0269808134014,0.420970072976729,0,74.5019772394589,270.709141078243,105610.105847656,8.63198164562939,0.0032859542756665,442587.774033739,0.171799427236988,22791.0423850088,519431612.995269,99.7790718656519,0.000942719339653272,22790.3474838379
compassFilterError,71.4879536306139,-51.8989254543238,-0.157717736165133,21004.9157397663,73.7576559270133,20.9748147400406,1.13492924653435,0,73.7486610909247,718.786642490759,114079.186037556,8.58915222680479,0.000993121528340121,422418.689061839,0.283575985108978,21004.9157397663,441206485.234681,109.035175626802,0.000694480318947421,21004.2752990936
fullSystemError,52.0788926559981,-51.781057108157,-0.000438509065169197,18822.1827511586,45.2250075390659,19.4270955366732,-0.101984244336703,0,45.2194922942441,-31.0114165989549,39724.5731976515,6.72454403558592,0.0012056307842401,370799.83838958,0.000788437896636802,18822.1827511586,354274563.518014,101.795231626267,0.000901254806885118,18821.6088603817
gyroSystemError,5.70797561339618,0,1.94803158098917,838.093132608063,3.42116342875837,1.9120998069367,0.518530371818994,0,3.42074621370608,3.28061662748325,22.3744447985483,2.68618191011652,0.000450145852300804,4968.00776236651,-3.50255455114711,838.093132608063,702400.098924796,9.58509598149331,0.000368268628926126,838.07489816075
gyroFilterError,100.882734854707,-100.67869695889,20.528795730001,26188.2484480939,1938.98326292484,2.97445466845625,-0.309102665753141,0,1938.74680155131,-26386.6582341339,11180199.2435342,48.5816658388264,0.000765061876364761,177742.957988282,-36.9107090538878,26188.2484480939,685824356.779091,17.022071240189,0.00074246023031592,26187.4759774806
