compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorFullSystemErrorCrossCorrelation,compassFilterErrorFullSystemErrorCrossCorrelation,fullSystemErrorFullSystemErrorCrossCorrelation,gyroSystemErrorFullSystemErrorCrossCorrelation,gyroFilterErrorFullSystemErrorCrossCorrelation
0,0,-2.21743470146542e-11,1.84786225122119e-12,-1.47828980097695e-11,0,0,0,-1.84786225122119e-12,7.39144900488475e-12
-0.000122922088300425,-0.000121958790317414,-0.000117997491052226,3.96131220022364e-06,-0.000103315271969352,-3.38811641706834e-06,-2.42480180329747e-06,1.53651293773677e-06,1.62187239362134e-05,0.00012349532473655
-0.000295526089353694,-0.000292988397949745,-0.000286762188706133,6.2262277222342e-06,-0.000251497119842541,-5.06356942452609e-06,-2.52589095561277e-06,3.70033872997507e-06,3.89654028584205e-05,0.000296688742107815
-0.000474381253182415,-0.000469942059781816,-0.000462912385248476,7.02971333844794e-06,-0.000406367238610983,-5.51054120204219e-06,-1.07136835891103e-06,5.95834659641638e-06,6.25034916170296e-05,0.000475900417696389
-0.000676513021250093,-0.000669785250451357,-0.000656566508705654,1.32187750072233e-05,-0.000576001288931048,-1.1421223577585e-05,-4.69344631133098e-06,8.5253267325387e-06,8.90905355354623e-05,0.000678310577299387
-0.000914593892438071,-0.000905089649475283,-0.000886377612394946,1.87120370803371e-05,-0.000777535953573764,-1.66582566822716e-05,-7.15400794491408e-06,1.15580278650177e-05,0.000120399662086533,0.000916647673067119
-0.00118516758823442,-0.0011724017131778,-0.00114810706249305,2.42946857941293e-05,-0.0010071450711361,-2.20568466512117e-05,-9.29098487609909e-06,1.50037009180302e-05,0.000155965680263877,0.00118740543811804
-0.00146531052739611,-0.00144899843467606,-0.00141877122223377,3.02272253773279e-05,-0.00124459384777953,-2.79520632281515e-05,-1.16399559561932e-05,1.85872672267983e-05,0.000192764645723242,0.0014675857040972
-0.00178095390133205,-0.00176071757007213,-0.00172440751293112,3.63100700760408e-05,-0.00151280987830389,-3.39298214442799e-05,-1.3693483428113e-05,2.26165846845741e-05,0.0002342142046444,0.00178333415487219
-0.00212229330772682,-0.00209788972925809,-0.00204910283228235,4.87869283893988e-05,-0.00179704414710166,-4.62272159821291e-05,-2.18236393901327e-05,2.6963284841576e-05,0.00027902193907057,0.00212485301825735
-0.00249980787731825,-0.00247093259046475,-0.00241067162936642,6.02609703376416e-05,-0.00211385426865447,-5.73654925819793e-05,-2.84901997517972e-05,3.17707635408696e-05,0.000328588126678138,0.00250270336659418
-0.00289349799000082,-0.00286001626343008,-0.00278561954785671,7.43967285084109e-05,-0.00244213654733603,-7.10826608978788e-05,-3.76009238174274e-05,3.67958088486736e-05,0.000380278796896279,0.00289681207181679
-0.00330100362263029,-0.00326282294496657,-0.00317579624612653,8.70267228622522e-05,-0.00278402238877283,-8.31982319401245e-05,-4.50175610326585e-05,4.20091627535248e-05,0.000433783005324325,0.00330483211233975
-0.00374010681278176,-0.00369701836080778,-0.00359728774203668,9.973062985828e-05,-0.00315346341166231,-9.51959827077752e-05,-5.21075165283585e-05,4.76231134454128e-05,0.000491447438160697,0.0037446414741377
