compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorFullSystemErrorCrossCorrelation,compassFilterErrorFullSystemErrorCrossCorrelation,fullSystemErrorFullSystemErrorCrossCorrelation,gyroSystemErrorFullSystemErrorCrossCorrelation,gyroFilterErrorFullSystemErrorCrossCorrelation
7.45058059692383e-12,-1.86264514923096e-11,7.45058059692383e-12,9.31322574615479e-13,-7.45058059692383e-12,-4.36557456851006e-14,1.86264514923096e-12,1.16415321826935e-13,1.39698386192322e-12,0
-0.000699063159525394,-0.000711432576179504,-0.000667293407022953,4.41391756758094e-05,-0.000583765842020512,-2.13310919934884e-05,-3.37005397304893e-05,1.04386371094733e-05,9.39662111923099e-05,0.000721871212124825
-0.00148675151914358,-0.00151203143969178,-0.00142476975172758,8.72616972774267e-05,-0.00124725391715765,-3.978043753159e-05,-6.50603426620364e-05,2.22013543825597e-05,0.000199717168230563,0.00153423279896379
-0.00232591480016708,-0.00236319582164288,-0.00225646453350782,0.000106731292791665,-0.00197906827181578,-3.46862515289104e-05,-7.19672758132219e-05,3.47640082472935e-05,0.000312160277273506,0.00239795983955264
-0.00326019952446222,-0.00330985732004046,-0.00317677767574787,0.000133079621940851,-0.00278832589834929,-3.46393517538672e-05,-8.42971503734589e-05,4.8782475409098e-05,0.000437234289478511,0.00335863979905844
-0.00427093711495399,-0.00433310288190842,-0.00414543731510639,0.000187665559351444,-0.00363698714226484,-6.15068071347196e-05,-0.000123672579415143,6.39929795870557e-05,0.000572443169075996,0.00439709586277604
-0.00531034138053656,-0.00538468527048826,-0.00515019181370735,0.00023449344933033,-0.00451843679696321,-8.04976575673209e-05,-0.000154841544106603,7.96519023133442e-05,0.00071140690241009,0.00546433717012405
-0.0063912410363555,-0.00647781704738736,-0.00620010799914598,0.000277709043584764,-0.00544019065797329,-9.51911086158361e-05,-0.00018176712654531,9.59419140126556e-05,0.000855859266128391,0.00657375898957253
-0.00751113580167294,-0.00760853758454323,-0.00730113549530506,0.00030740206129849,-0.00640870781987905,-9.71831298738834e-05,-0.000194584883749485,0.000112817178829573,0.00100524486834183,0.00772135475277901
-0.00867603949457407,-0.0087837543040514,-0.00845263221114874,0.000331122099421918,-0.00742256124317646,-9.32222909978009e-05,-0.000200937114655972,0.000130184982670471,0.00116025596344843,0.00891393930837512
