compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorFullSystemErrorCrossCorrelation,compassFilterErrorFullSystemErrorCrossCorrelation,fullSystemErrorFullSystemErrorCrossCorrelation,gyroSystemErrorFullSystemErrorCrossCorrelation,gyroFilterErrorFullSystemErrorCrossCorrelation
7.09579104468936e-12,1.0643686567034e-11,1.0643686567034e-11,-4.43486940293085e-13,-7.09579104468936e-12,1.10871735073271e-13,0,5.54358675366356e-14,-2.21743470146543e-12,1.41915820893787e-11
5.64010370345343e-06,5.63605555466243e-06,5.4818427278882e-06,-1.54213713748114e-07,4.79167415982201e-06,9.53984480085117e-08,9.13450050921667e-08,-6.28697619374309e-08,-7.53047033434822e-07,-5.6989278112139e-06
-4.37309912272862e-05,-4.36985457227344e-05,-4.24588258777346e-05,1.23971274920872e-06,-3.71075315134866e-05,-7.84872806564506e-07,-7.52427925666173e-07,4.87285211593622e-07,5.83858584009466e-06,4.41858349811463e-05
-0.000123828493413471,-0.00012374280109292,-0.00012055550302778,3.18729584770543e-06,-0.00010540219999495,-1.89232642740189e-06,-1.80663053123724e-06,1.38066415231498e-06,1.6533974558115e-05,0.000125123453991754
-0.000236173786577724,-0.000236057592999367,-0.000231800852786927,4.25675307356176e-06,-0.000202902310660907,-1.7288366160799e-06,-1.61265067401386e-06,2.64410439523913e-06,3.15426436385938e-05,0.000238701708260037
-0.000374708353053956,-0.000374601657191912,-0.00036841298143069,6.18868374398776e-06,-0.00032256435070719,-2.08618797062497e-06,-1.9794919838508e-06,4.20919087316309e-06,5.0057838005679e-05,0.000378810869795936
-0.000521406822261356,-0.000521396182122685,-0.000512686031205314,8.71016643941402e-06,-0.00044888212567284,-2.84534104312548e-06,-2.83470820812952e-06,5.87545817584864e-06,6.96793557809932e-05,0.000527271642571404
-0.000713776048450243,-0.00071393673263845,-0.000701026629124369,1.29100946443421e-05,-0.000613674152465094,-4.68752514626387e-06,-4.84822362306572e-06,8.06187207455791e-06,9.54143459066039e-05,0.000721998612085978
-0.000933237870534261,-0.000933695701616151,-0.000917436927556992,1.625876962429e-05,-0.000803210316669373,-5.24045230122283e-06,-5.69827943330719e-06,1.05604878626764e-05,0.000124787091321888,0.000944256197128977
-0.00117624943100271,-0.00117718186406862,-0.00115580677986145,2.13751001727013e-05,-0.00101181357034615,-7.1130131254904e-06,-8.04545535218148e-06,1.33296441552894e-05,0.000157322853892332,0.00119051152751559
-0.00142905062153226,-0.00143067905945437,-0.00140587048161597,2.48085738470157e-05,-0.00123089814824717,-6.97109972991581e-06,-8.59954660492284e-06,1.62090293486558e-05,0.000191181364158789,0.0014468880991141
