compassSystemfullSystemErrorCrossCorrelation,compassFilterfullSystemErrorCrossCorrelation,fullSystemfullSystemErrorCrossCorrelation,gyroFilterfullSystemErrorCrossCorrelation,gyroSystemfullSystemErrorCrossCorrelation,fullSystemErrorAutoCorrelation
-1.66307602609907e-11,0,0,1.03942251631192e-12,-8.31538013049534e-12,-4.15769006524767e-12
8.45085097742932e-05,7.12386764852064e-05,9.69053611957601e-05,2.56666971836239e-05,0.000128634623251855,9.15926024650357e-06
3.47063344504152e-05,2.86614189722708e-05,2.03932369393962e-05,-8.26819710450114e-06,3.37688086022224e-05,3.52228172622355e-06
-7.49883973704917e-05,-6.6175133854683e-05,-9.49464322599981e-05,-2.87712882709457e-05,-0.00012584708331685,-5.28419851824375e-06
-0.000119027931110135,-0.000102576641698501,-7.98989120604736e-05,2.267773334097e-05,-0.000126766797620803,-1.05953352301315e-05
-0.000196509612058955,-0.000164270384370216,-0.000194912285743547,-3.06419081295774e-05,-0.000268264507342662,-2.17580901724952e-05
-0.000330892191933734,-0.000273647239997185,-0.000371227618805798,-9.75803912816835e-05,-0.000491729829393859,-3.99725811023797e-05
-0.000500895939434745,-0.000411358472774737,-0.000546856916376523,-0.000135498433207561,-0.000729770474468491,-6.02297243728702e-05
-0.000582321413925716,-0.000473529742781206,-0.000687444665735321,-0.000213914915678158,-0.00089796309891556,-7.2536790477378e-05
-0.000670539165314819,-0.00053662766315808,-0.00078219834540505,-0.000245570676010435,-0.00101294815872929,-9.57346970348486e-05
-0.000840951189664858,-0.000667273591846294,-0.000880001981775942,-0.000212728393047915,-0.00116345843499792,-0.000126372715125659
-0.000972322146740875,-0.000766238133240092,-0.000981421054997814,-0.00021518292903368,-0.00130432212193097,-0.000151152996945062
-0.00116666207655466,-0.000912950008309313,-0.00120598926202677,-0.000293039246961208,-0.00158618570172361,-0.00018895063216665
-0.00136437583673147,-0.00105673773214221,-0.00138857093302899,-0.000331833193610821,-0.0018281233081195,-0.000227368794315095
-0.00160959916580136,-0.00123788871652713,-0.00148923122417598,-0.000251342502971446,-0.00200620454519854,-0.000270364398602396
-0.0018116205163616,-0.00137955455491985,-0.00175462894133359,-0.000375074376019516,-0.00233447789547167,-0.000307756550942681
-0.00204340103352609,-0.00153950991807505,-0.00209331364125579,-0.000553803726299001,-0.00274866320458906,-0.000348487977005009
-0.00234747168516541,-0.0017563505805031,-0.00223755523412755,-0.000481204657782135,-0.0029994731469612,-0.000393648615239986
-0.00267355508237545,-0.00198889198197451,-0.00248596723291225,-0.000497075261331962,-0.00336316577574637,-0.00044215886321451
-0.00311171641806141,-0.00230822560011542,-0.00288562032385796,-0.00057739472166369,-0.00392466546535226,-0.000500639168811696
-0.00359501456010288,-0.00265879153656507,-0.00324842801325888,-0.000589636476693808,-0.00446548902462902,-0.000565136745405782
-0.00408424503984861,-0.00300360176645751,-0.00351573698571883,-0.000512135233813232,-0.00490591511230117,-0.000640485614504931
-0.00467394505228315,-0.00342259818821081,-0.00416952123798962,-0.000746923053936501,-0.00577803752717695,-0.00072442542295903
